tweet_id,source,text,rating_numerator,rating_denominator,name,dog_breed,Date,Year,Month,Day_of_week,Time,Hour,favorite_count,retweet_count,jpg_url,dog_type,confidence_list
892177421306343426,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,,2017-08-01,2017,August,Tuesday,00:17:27,0,30461.0,5522.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581
891815181378084864,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,,2017-07-31,2017,July,Monday,00:18:03,0,22905.0,3645.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012
891689557279858688,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,,2017-07-30,2017,July,Sunday,15:58:51,15,38483.0,7600.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_Retriever,0.168086
891327558926688256,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,,2017-07-29,2017,July,Saturday,16:00:24,16,36751.0,8185.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,0.555712
891087950875897856,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13,10,,,2017-07-29,2017,July,Saturday,00:08:17,0,18526.0,2743.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_Retriever,0.425595
890971913173991426,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below
",13,10,Jax,,2017-07-28,2017,July,Friday,16:27:12,16,10771.0,1776.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003
890729181411237888,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13,10,,,2017-07-28,2017,July,Friday,00:22:40,0,59278.0,16609.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142
890609185150312448,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13,10,Zoey,,2017-07-27,2017,July,Thursday,16:25:51,16,25505.0,3793.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_Terrier,0.487574
890240255349198849,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,doggo,2017-07-26,2017,July,Wednesday,15:59:51,15,29093.0,6433.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319
890006608113172480,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,,2017-07-26,2017,July,Wednesday,00:31:25,0,28057.0,6454.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979
889880896479866881,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,,2017-07-25,2017,July,Tuesday,16:11:53,16,25524.0,4384.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_Bulldog,0.377417
889665388333682689,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13,10,,puppo,2017-07-25,2017,July,Tuesday,01:55:32,1,43815.0,8805.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327
